page,tier,brand,model,year_range,engine,section,sku,material,description,price_kind,msrp_usd,import_fee_usd,retail_usd,matched_summary_label,remarks
4,Premium Products,Lamborghini,CEL sync | TBD | Revuelto,2024 - Current,,,0LRVT-NVNN0-4,SS,Cat Back System ※Non-OPF Version,absolute,10000.0,1600,11600.0,,"※ONLY compatible with factory valve control system , can't install iPE remote control or OBDII | ※Please confirm OPF / non-OPF version before placing an order | ※OPF model changing to the catless downpipe / catback system may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
4,Premium Products,Lamborghini,CEL sync | TBD | Revuelto,2024 - Current,,Cat Back System,0LRVT-NVNM0-4,,SS Cat Back System ※OPF Version,absolute,10000.0,1600,11600.0,,"※ONLY compatible with factory valve control system , can't install iPE remote control or OBDII | ※Please confirm OPF / non-OPF version before placing an order | ※OPF model changing to the catless downpipe / catback system may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
5,Standard Products,BMW,G99 M5 Touring | G90 M5,2024-Current,Engine Model:S68,,0WM5G9-A0N00-3,SS,Catted Front Section,absolute,3300.0,1500,4800.0,,"※Please confirm OPF / non-OPF version before placing an order | ※Compatible with the factory valve control system, OBDII and remote control are also available | ※Changing to the OPF version catted / catless downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
5,Standard Products,BMW,G99 M5 Touring | G90 M5,2024-Current,Engine Model:S68,Downpipe,0WM5G9-B0N00-3,SS,Catless Front Section,absolute,2700.0,1500,4200.0,,"※Please confirm OPF / non-OPF version before placing an order | ※Compatible with the factory valve control system, OBDII and remote control are also available | ※Changing to the OPF version catted / catless downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
5,Standard Products,BMW,G99 M5 Touring | G90 M5,2024-Current,Engine Model:S68,,0WM5G9-B0N00-3-01,SS,Catless Rear Section,absolute,600.0,1500,2100.0,,"※Please confirm OPF / non-OPF version before placing an order | ※Compatible with the factory valve control system, OBDII and remote control are also available | ※Changing to the OPF version catted / catless downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
5,Standard Products,BMW,G99 M5 Touring | G90 M5,2024-Current,Engine Model:S68,,0WM5G9-NVNM0-2,SS,Catback System,absolute,6000.0,1600,7600.0,G99 M5 Touring Cat Back System,"※Please confirm OPF / non-OPF version before placing an order | ※Compatible with the factory valve control system, OBDII and remote control are also available | ※Changing to the OPF version catted / catless downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
5,Standard Products,BMW,G99 M5 Touring | G90 M5,2024-Current,Engine Model:S68,,1N400Z-03-N0BD-7S,SS,Tips (Carbon Fiber),included,0.0,,0.0,,"※Please confirm OPF / non-OPF version before placing an order | ※Compatible with the factory valve control system, OBDII and remote control are also available | ※Changing to the OPF version catted / catless downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
5,Standard Products,BMW,G99 M5 Touring | G90 M5,2024-Current,Engine Model:S68,,1N400Z-03-N0BM-7S,SS,Tips (Satin Silver),relative,0.0,,0.0,,"※Please confirm OPF / non-OPF version before placing an order | ※Compatible with the factory valve control system, OBDII and remote control are also available | ※Changing to the OPF version catted / catless downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
5,Standard Products,BMW,G99 M5 Touring | G90 M5,2024-Current,Engine Model:S68,Upgrade Options,1X-32-V0V0-8S-B5001,,Remote Control,relative,280.0,,280.0,,"※Please confirm OPF / non-OPF version before placing an order | ※Compatible with the factory valve control system, OBDII and remote control are also available | ※Changing to the OPF version catted / catless downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
5,Standard Products,BMW,G99 M5 Touring | G90 M5,2024-Current,Engine Model:S68,,1X-31-V0V0-8S-B1001,,OBDII with Lighting Sensor,relative,570.0,,570.0,,"※Please confirm OPF / non-OPF version before placing an order | ※Compatible with the factory valve control system, OBDII and remote control are also available | ※Changing to the OPF version catted / catless downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
5,Standard Products,McLaren,750S | 750S Spider,2023 - Current,,,0C720-A0N00-3,SS,Catted Downpipe 750S Downpipe,absolute,4600.0,1500,6100.0,,※Only downpipes available for this particular model
5,Standard Products,McLaren,750S | 750S Spider,2023 - Current,,,0C720-B0N00-3,SS,Catless Downpipe,absolute,3400.0,1500,4900.0,,※Only downpipes available for this particular model
5,Standard Products,McLaren,GTS,2024 - Current,,Downpipe,0CGT0-A0N00-3,SS,Catted Downpipe,absolute,4300.0,1500,5800.0,,"※Reuse stock valve motor on iPE's valve system | ※iPE catback system is a valve version, not compatible with non valve version. Please check the if the car has valve system before placing an order | ※This model is NOT compatible with iPE's Remote/OBDII control system | ※iPE does NOT offer exhaust tips for this particular model"
5,Standard Products,McLaren,GTS,2024 - Current,,,0CGT0-B0N00-3,SS,Catless Downpipe,absolute,3200.0,1500,4700.0,,"※Reuse stock valve motor on iPE's valve system | ※iPE catback system is a valve version, not compatible with non valve version. Please check the if the car has valve system before placing an order | ※This model is NOT compatible with iPE's Remote/OBDII control system | ※iPE does NOT offer exhaust tips for this particular model"
5,Standard Products,McLaren,GTS,2024 - Current,,Cat Back System,0CGT0-NVN00-2,SS,Cat Back System,absolute,4600.0,1500,6100.0,,"※Reuse stock valve motor on iPE's valve system | ※iPE catback system is a valve version, not compatible with non valve version. Please check the if the car has valve system before placing an order | ※This model is NOT compatible with iPE's Remote/OBDII control system | ※iPE does NOT offer exhaust tips for this particular model"
5,Standard Products,Mercedes-Benz,A236-CLE53 | C236-CLE53,2024 - Current,,,0Z3653-A0NN0-3,SS,Catted Downpipe ※Non-OPF Version,absolute,2000.0,1500,3500.0,,"※Changing to the OPF version model may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL) | ※ONLY compatible with factory tips | ※Catback system will only compatible with LHD model"
5,Standard Products,Mercedes-Benz,A236-CLE53 | C236-CLE53,2024 - Current,,,0Z3653-B0NN0-3,SS,Catless Downpipe ※Non-OPF Version A236-CLE53 Downpipe,absolute,1600.0,1500,3100.0,,"※Changing to the OPF version model may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL) | ※ONLY compatible with factory tips | ※Catback system will only compatible with LHD model"
5,Standard Products,Mercedes-Benz,A236-CLE53 | C236-CLE53,2024 - Current,,,0Z3653-A0NM0-3,SS,Catted Downpipe ※OPF Version,absolute,2000.0,1500,3500.0,,"※Changing to the OPF version model may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL) | ※ONLY compatible with factory tips | ※Catback system will only compatible with LHD model"
5,Standard Products,Mercedes-Benz,A236-CLE53 | C236-CLE53,2024 - Current,,,0Z3653-B0NM0-3,SS,Catless Downpipe ※OPF Version,absolute,1600.0,1500,3100.0,,"※Changing to the OPF version model may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL) | ※ONLY compatible with factory tips | ※Catback system will only compatible with LHD model"
5,Standard Products,Mercedes-Benz,A236-CLE53 | C236-CLE53,2024 - Current,,Cat Back System,0Z3653-NVNA0-2,SS,Cat Back System (Factory control),absolute,3200.0,1500,4700.0,,"※Changing to the OPF version model may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL) | ※ONLY compatible with factory tips | ※Catback system will only compatible with LHD model"
5,Standard Products,Nissan,(IPE Motor) | RZ34 400Z,2022-Current,Engine: VR30,,0N400Z-BVN00-1,SS,Catless rear section Catless rear section SS Cat Back System (IPE Motor),absolute,3700.0,1500,5200.0,Catless rear section SS Cat Back System (IPE Motor) Nissan +,※This model is available for optional OBDII control
5,Standard Products,Nissan,(IPE Motor) | RZ34 400Z,2022-Current,Engine: VR30,Cat Back System,1N400Z-03-N0BD-7S,SS,Tips (Carbon Fiber),included,0.0,,0.0,,※This model is available for optional OBDII control
5,Standard Products,Nissan,(IPE Motor) | RZ34 400Z,2022-Current,Engine: VR30,,1X-32-E0W0-8S-B2001,,Remote Control,included,0.0,,0.0,,※This model is available for optional OBDII control
5,Standard Products,Nissan,(IPE Motor) | RZ34 400Z,2022-Current,Engine: VR30,,1N400Z-03-N0BM-7S,SS,Tips (Satin Silver),relative,200.0,,200.0,,※This model is available for optional OBDII control
5,Standard Products,Nissan,(IPE Motor) | RZ34 400Z,2022-Current,Engine: VR30,(No Discount),1X-31-E0W0-8S-B2001,,OBDII with Lighting Sensor,relative,570.0,,570.0,,※This model is available for optional OBDII control
6,Standard Products,Porsche,976 | Panamera S (2.9T) | 6P971N4009 | Extend Pipe | Panamera 4S (2.9T),2023 - Current,,Downpipe,0P971T-A0NM0-3,SS,Catted Downpipe ※OPF Version,absolute,2000.0,1500,3500.0,,"※Please confirm OPF/Non-OPF before placing an order | ※Remain the use of factory valve control system, optional remote control system / OBDII control system is available | ※OPF version Catted / Catless Downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
6,Standard Products,Porsche,976 | Panamera S (2.9T) | 6P971N4009 | Extend Pipe | Panamera 4S (2.9T),2023 - Current,,,0P971T-B0NM0-3,SS,Catless Downpipe ※OPF Version,absolute,1600.0,1500,3100.0,,"※Please confirm OPF/Non-OPF before placing an order | ※Remain the use of factory valve control system, optional remote control system / OBDII control system is available | ※OPF version Catted / Catless Downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
6,Standard Products,Porsche,976 | Panamera S (2.9T) | 6P971N4009 | Extend Pipe | Panamera 4S (2.9T),2023 - Current,,Front Pipe,0P976T-N0NM0-3,SS,Front Pipe ※OPF Version,absolute,1200.0,1500,2700.0,,"※Please confirm OPF/Non-OPF before placing an order | ※Remain the use of factory valve control system, optional remote control system / OBDII control system is available | ※OPF version Catted / Catless Downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
6,Standard Products,Porsche,976 | Panamera S (2.9T) | 6P971N4009 | Extend Pipe | Panamera 4S (2.9T),2023 - Current,,,0P976T-NVN00-4,SS,Rear Valvetronic System,absolute,4500.0,1500,6000.0,Rear Valvetronic System Tips (Carbon Fiber) 976 BMR Control,"※Please confirm OPF/Non-OPF before placing an order | ※Remain the use of factory valve control system, optional remote control system / OBDII control system is available | ※OPF version Catted / Catless Downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
6,Standard Products,Porsche,976 | Panamera S (2.9T) | 6P971N4009 | Extend Pipe | Panamera 4S (2.9T),2023 - Current,,Rear Valvetronic System,1P971N-03-N0AD-7S,SS,Tips (Carbon Fiber) 976 BMR Control,absolute,4500.0,1500,6000.0,,"※Please confirm OPF/Non-OPF before placing an order | ※Remain the use of factory valve control system, optional remote control system / OBDII control system is available | ※OPF version Catted / Catless Downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
6,Standard Products,Porsche,976 | Panamera S (2.9T) | 6P971N4009 | Extend Pipe | Panamera 4S (2.9T),2023 - Current,,,1P971N-03-N0AS-7S,SS,Tips (Chrome Silver),relative,200.0,,200.0,,"※Please confirm OPF/Non-OPF before placing an order | ※Remain the use of factory valve control system, optional remote control system / OBDII control system is available | ※OPF version Catted / Catless Downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
6,Standard Products,Porsche,976 | Panamera S (2.9T) | 6P971N4009 | Extend Pipe | Panamera 4S (2.9T),2023 - Current,,,1P971N-03-N0AT-7S,SS,Tips (Titanium Blue),relative,230.0,,230.0,,"※Please confirm OPF/Non-OPF before placing an order | ※Remain the use of factory valve control system, optional remote control system / OBDII control system is available | ※OPF version Catted / Catless Downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
6,Standard Products,Porsche,976 | Panamera S (2.9T) | 6P971N4009 | Extend Pipe | Panamera 4S (2.9T),2023 - Current,,Upgrade Options,1P971N-03-N0AB-7S,SS,Tips (Chrome Black),relative,450.0,,450.0,,"※Please confirm OPF/Non-OPF before placing an order | ※Remain the use of factory valve control system, optional remote control system / OBDII control system is available | ※OPF version Catted / Catless Downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
6,Standard Products,Porsche,976 | Panamera S (2.9T) | 6P971N4009 | Extend Pipe | Panamera 4S (2.9T),2023 - Current,,(No Discount),1X-32-V0V0-8S-B5001,,Remote Control,absolute,280.0,1500,1780.0,,"※Please confirm OPF/Non-OPF before placing an order | ※Remain the use of factory valve control system, optional remote control system / OBDII control system is available | ※OPF version Catted / Catless Downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
6,Standard Products,Porsche,976 | Panamera S (2.9T) | 6P971N4009 | Extend Pipe | Panamera 4S (2.9T),2023 - Current,,,1X-31-V0V0-8S-B1001,,OBDII with Lighting Sensor,relative,570.0,,570.0,,"※Please confirm OPF/Non-OPF before placing an order | ※Remain the use of factory valve control system, optional remote control system / OBDII control system is available | ※OPF version Catted / Catless Downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
6,Standard Products,Porsche,E3 Cayenne 3.0T | Cayenne Coupe 3.0T,2023 - Current,,Downpipe,0PCAE3-A0NM0-302,SS,Catted Downpipe ※OPF Version,absolute,2000.0,1500,3500.0,,"※Please confirm OPF/Non-OPF before placing an order, OPF version Catted / Catless Downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
6,Standard Products,Porsche,E3 Cayenne 3.0T | Cayenne Coupe 3.0T,2023 - Current,,,0PCAE3-B0NM0-302,SS,Catless Downpipe ※OPF Version,absolute,1600.0,1500,3100.0,,"※Please confirm OPF/Non-OPF before placing an order, OPF version Catted / Catless Downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
6,Standard Products,Porsche,E3 Cayenne 3.0T | Cayenne Coupe 3.0T,2023 - Current,,,0PCAE3-N0NP0-203,SS,Catback System,absolute,4900.0,1500,6400.0,Cat Back System Tips (Carbon Fiber),"※Please confirm OPF/Non-OPF before placing an order, OPF version Catted / Catless Downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
6,Standard Products,Porsche,E3 Cayenne 3.0T | Cayenne Coupe 3.0T,2023 - Current,,Cat Back System,1IF56-03-N0AD-7S,SS,Tips (Carbon Fiber),absolute,4900.0,1500,6400.0,,"※Please confirm OPF/Non-OPF before placing an order, OPF version Catted / Catless Downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
6,Standard Products,Porsche,E3 Cayenne 3.0T | Cayenne Coupe 3.0T,2023 - Current,,(OPF Version),1IF56-03-N0AS-7S,SS,Tips (Chrome Silver),relative,200.0,,200.0,,"※Please confirm OPF/Non-OPF before placing an order, OPF version Catted / Catless Downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
6,Standard Products,Porsche,E3 Cayenne 3.0T | Cayenne Coupe 3.0T,2023 - Current,,(Bilateral front tube version),1IF56-03-N0AT-7S,SS,Tips (Titanium Blue),relative,230.0,,230.0,,"※Please confirm OPF/Non-OPF before placing an order, OPF version Catted / Catless Downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
6,Standard Products,Porsche,E3 Cayenne 3.0T | Cayenne Coupe 3.0T,2023 - Current,,(No Discount),1IF56-03-N0AB-7S,SS,Tips (Chrome Black),relative,350.0,,350.0,,"※Please confirm OPF/Non-OPF before placing an order, OPF version Catted / Catless Downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
6,Standard Products,Porsche,E3 Cayenne 3.0T | Cayenne Coupe 3.0T,2023 - Current,,,1X-32-V0V0-8S-B5001,,Remote Control,relative,280.0,,280.0,,"※Please confirm OPF/Non-OPF before placing an order, OPF version Catted / Catless Downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
6,Standard Products,Porsche,E3 Cayenne 3.0T | Cayenne Coupe 3.0T,2023 - Current,,,1X-31-V0V0-8S-B1001,,OBDII with Lighting Sensor,relative,570.0,,570.0,,"※Please confirm OPF/Non-OPF before placing an order, OPF version Catted / Catless Downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
6,Standard Products,Ferrari,Roma | Roma Spider,2020 - Current,,,0FROM-A0NM0-2,SS,Catted Downpipe ※OPF Version + Mid Pipe Roma Downpipe + Mid Pipe,absolute,6500.0,1600,8100.0,,"※Changing to the Catted / Catless downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
6,Standard Products,Ferrari,Roma | Roma Spider,2020 - Current,,,0FROM-B0NM0-2,SS,Catless Downpipe ※OPF Version + Mid Pipe,absolute,5200.0,1600,6800.0,,"※Changing to the Catted / Catless downpipe may cause CEL (check engine light), therefore will require ECU tune to eliminate CEL (NO warranty for CEL)"
7,Standard Products,Audi,A4/A5 B9 2.0 TFSI Quattro,2016 - 2019,,Downpipe,1AA50-11-A000-2N,SS,Catted Downpipe,absolute,1200.0,1500,2700.0,,※CAN'T compatible with 2020 or newer models
7,Standard Products,Audi,A4/A5 B9 2.0 TFSI Quattro,2016 - 2019,,,1AA50-11-B000-2N,SS,Catless Downpipe,absolute,800.0,1500,2300.0,,※CAN'T compatible with 2020 or newer models
7,Standard Products,Audi,A4/A5 B9 2.0 TFSI Quattro,2016 - 2019,,,0AA50-NVN0S-2,SS,Cat Back System,absolute,4100.0,1500,5600.0,Cat Back System Tips (Chrome Silver),※CAN'T compatible with 2020 or newer models
7,Standard Products,Audi,A4/A5 B9 2.0 TFSI Quattro,2016 - 2019,,Cat Back System,1P971N-03-N0AS-7S,SS,Tips (Chrome Silver),absolute,4100.0,1500,5600.0,,※CAN'T compatible with 2020 or newer models
7,Standard Products,Audi,A4/A5 B9 2.0 TFSI Quattro,2016 - 2019,,,1X-32-V0V0-8S-B5001,,Remote Control,included,0.0,,0.0,,※CAN'T compatible with 2020 or newer models
7,Standard Products,Audi,A4/A5 B9 2.0 TFSI Quattro,2016 - 2019,,,1P971N-03-N0AT-7S,SS,Tips (Titanium Blue),relative,140.0,,140.0,,※CAN'T compatible with 2020 or newer models
7,Standard Products,Audi,A4/A5 B9 2.0 TFSI Quattro,2016 - 2019,,Upgrade Options,1P971N-03-N0AB-7S,SS,Tips (Chrome Black),relative,200.0,,200.0,,※CAN'T compatible with 2020 or newer models
7,Standard Products,Audi,A4/A5 B9 2.0 TFSI Quattro,2016 - 2019,,(No Discount),1P971N-03-N0AD-7S,SS,Tips (Carbon Fiber),relative,410.0,,410.0,,※CAN'T compatible with 2020 or newer models
7,Standard Products,Audi,A4/A5 B9 2.0 TFSI Quattro,2016 - 2019,,,1X-31-V0V0-8S-B5001,,OBDII with Lighting Sensor,relative,290.0,,290.0,,※CAN'T compatible with 2020 or newer models
7,Standard Products,Audi,A6/A7 C7 3.0 TFSI | Quattro,2010 - 2017,,,0AA70-NVN00-2,SS,Cat Back System,absolute,4400.0,1500,5900.0,Cat Back System Tips (Chrome Silver),
7,Standard Products,Audi,A6/A7 C7 3.0 TFSI | Quattro,2010 - 2017,,Cat Back System,1AS50-03-N0AS-7S,SS,Tips (Chrome Silver),absolute,4400.0,1500,5900.0,,
7,Standard Products,Audi,A6/A7 C7 3.0 TFSI | Quattro,2010 - 2017,,,1X-32-V0V0-8S-B5001,,Remote Control,included,0.0,,0.0,,
7,Standard Products,Audi,A6/A7 C7 3.0 TFSI | Quattro,2010 - 2017,,,1AS50-03-N0AT-7S,SS,Tips (Titanium Blue),relative,230.0,,230.0,,
7,Standard Products,Audi,A6/A7 C7 3.0 TFSI | Quattro,2010 - 2017,,,1AS50-03-N0AB-7S,SS,Tips (Chrome Black),relative,350.0,,350.0,,
7,Standard Products,Audi,A6/A7 C7 3.0 TFSI | Quattro,2010 - 2017,,Upgrade Options,1AS50-03-N0AD-7S,SS,Tips (Carbon Fiber),relative,690.0,,690.0,,
7,Standard Products,Audi,A6/A7 C7 3.0 TFSI | Quattro,2010 - 2017,,(No Discount),1AS50-23-N0AD-7S,Ti,89mm Black Mamba Tips (Carbon Fiber & Titanium),relative,690.0,,690.0,,
7,Standard Products,Audi,A6/A7 C7 3.0 TFSI | Quattro,2010 - 2017,,,1AS50-23-N0AD-7S-01,Ti,89mm Red Mamba Tips (Carbon Fiber & Titanium),relative,690.0,,690.0,,
7,Standard Products,Audi,A6/A7 C7 3.0 TFSI | Quattro,2010 - 2017,,,1X-31-V0V0-8S-B5001,,OBDII with Lighting Sensor,relative,290.0,,290.0,,
7,Standard Products,Audi,A6 C8 45 TFSI | Quattro (2.0T),2019 - Current,,Downpipe,0AA61-A0N00-3,SS,Catted Downpipe,absolute,1200.0,1500,2700.0,,"※For non-OPF Version ONLY | ※Front Pipe only compatible with LHD model | ※Catback: 1. Stock version catback, 2. Dual Side Dual Out tips version catback | ※The stock exhaust exits face down | ※Dual Side Dual Out tips version - aftermarket ABS rear diffuser is included | ※Please confirm with iPE whether the rear bumper is a S-Line version before placing an Dual Side Dual Out tips catback order"
7,Standard Products,Audi,A6 C8 45 TFSI | Quattro (2.0T),2019 - Current,,,0AA61-B0N00-3,SS,Catless Downpipe,absolute,900.0,1500,2400.0,,"※For non-OPF Version ONLY | ※Front Pipe only compatible with LHD model | ※Catback: 1. Stock version catback, 2. Dual Side Dual Out tips version catback | ※The stock exhaust exits face down | ※Dual Side Dual Out tips version - aftermarket ABS rear diffuser is included | ※Please confirm with iPE whether the rear bumper is a S-Line version before placing an Dual Side Dual Out tips catback order"
7,Standard Products,Audi,A6 C8 45 TFSI | Quattro (2.0T),2019 - Current,,Factory Version,0AA61-NVN00-2,SS,Cat Back System,absolute,3800.0,1500,5300.0,,"※For non-OPF Version ONLY | ※Front Pipe only compatible with LHD model | ※Catback: 1. Stock version catback, 2. Dual Side Dual Out tips version catback | ※The stock exhaust exits face down | ※Dual Side Dual Out tips version - aftermarket ABS rear diffuser is included | ※Please confirm with iPE whether the rear bumper is a S-Line version before placing an Dual Side Dual Out tips catback order"
7,Standard Products,Audi,A6 C8 45 TFSI | Quattro (2.0T),2019 - Current,,Cat Back System,1X-31-V0V0-8S-B5001,,OBDII with Lighting Sensor,included,0.0,,0.0,,"※For non-OPF Version ONLY | ※Front Pipe only compatible with LHD model | ※Catback: 1. Stock version catback, 2. Dual Side Dual Out tips version catback | ※The stock exhaust exits face down | ※Dual Side Dual Out tips version - aftermarket ABS rear diffuser is included | ※Please confirm with iPE whether the rear bumper is a S-Line version before placing an Dual Side Dual Out tips catback order"
7,Standard Products,Audi,A6 C8 45 TFSI | Quattro (2.0T),2019 - Current,,,0AA61-NVN00-2-02,SS,Dual Side Dual Out Version Cat Back System + ABS Rear Diffuser,absolute,4400.0,1500,5900.0,Dual Side Dual Out Version Tips (Chrome Silver) A6 C8 45 TFSI Quattro (2.0T) Cat Back System,"※For non-OPF Version ONLY | ※Front Pipe only compatible with LHD model | ※Catback: 1. Stock version catback, 2. Dual Side Dual Out tips version catback | ※The stock exhaust exits face down | ※Dual Side Dual Out tips version - aftermarket ABS rear diffuser is included | ※Please confirm with iPE whether the rear bumper is a S-Line version before placing an Dual Side Dual Out tips catback order"
7,Standard Products,Audi,A6 C8 45 TFSI | Quattro (2.0T),2019 - Current,,Dual Side Dual Out Version,1VMK7-03-N0AS-7S,SS,Tips (Chrome Silver) A6 C8 45 TFSI Quattro (2.0T) Cat Back System,absolute,4400.0,1500,5900.0,,"※For non-OPF Version ONLY | ※Front Pipe only compatible with LHD model | ※Catback: 1. Stock version catback, 2. Dual Side Dual Out tips version catback | ※The stock exhaust exits face down | ※Dual Side Dual Out tips version - aftermarket ABS rear diffuser is included | ※Please confirm with iPE whether the rear bumper is a S-Line version before placing an Dual Side Dual Out tips catback order"
